ba,hours,avg_ci,location_t,annual_matched_t,hourly_matched_t,hourly_matched_share,ci_when_unmatched
PJM,4389,348.12780659918656,152793.294316383,0.0,88932.14436184295,0.4262617157902131,353.16637946488623
ERCO,4369,302.98809381987047,132375.4981899014,0.0,82087.21684751972,0.44183787322532764,336.6147341149219
MISO,4393,442.8620600901265,194549.30299759257,0.0,114464.03816418085,0.4262797688896417,454.1587598539379
CISO,4393,211.93559982832738,93103.30900458423,0.0,62602.29975229168,0.4354604044182916,252.42634363706773
SWPP,4417,420.822135314719,185877.1371685114,0.0,90778.82729239356,0.4787541999479017,394.28894464112886
SOCO,4417,374.0091681725166,165199.84958180058,0.0,99279.70353107073,0.4199255345069719,387.4800292257687
